hour_bucket,predicted_hourly_m3,lower,upper
2026-04-24 11:00:00,19.513036066054283,15.874298572565168,22.563576067743238
2026-04-24 12:00:00,18.723000214930007,15.084262721440892,21.77354021661896
2026-04-24 13:00:00,16.523840686032703,12.885103192543587,19.574380687721657
2026-04-24 14:00:00,16.467848397199475,12.82911090371036,19.51838839888843
2026-04-24 15:00:00,15.723043722157026,12.084306228667911,18.77358372384598
2026-04-24 16:00:00,13.68067518529283,10.041937691803716,16.731215186981785
2026-04-24 17:00:00,0.0,0.0,3.0505400016889537
2026-04-24 18:00:00,0.0,0.0,3.0505400016889537
2026-04-24 19:00:00,0.0,0.0,3.0505400016889537
2026-04-24 20:00:00,0.0,0.0,3.0505400016889537
2026-04-24 21:00:00,0.0,0.0,3.0505400016889537
2026-04-24 22:00:00,0.0,0.0,3.0505400016889537
2026-04-24 23:00:00,0.0,0.0,3.0505400016889537
2026-04-25 00:00:00,0.0,0.0,3.0505400016889537
2026-04-25 01:00:00,0.0,0.0,3.0505400016889537
2026-04-25 02:00:00,0.0,0.0,3.0505400016889537
2026-04-25 03:00:00,0.0,0.0,3.0505400016889537
2026-04-25 04:00:00,0.0,0.0,3.0505400016889537
2026-04-25 05:00:00,0.0,0.0,3.0505400016889537
2026-04-25 06:00:00,9.515190511786288,5.876453018297173,12.565730513475241
2026-04-25 07:00:00,14.264401452381978,10.625663958892863,17.314941454070933
2026-04-25 08:00:00,15.256178108857872,11.617440615368757,18.306718110546825
2026-04-25 09:00:00,16.554480880548127,12.915743387059011,19.60502088223708
2026-04-25 10:00:00,16.395128294149355,12.75639080066024,19.44566829583831
2026-04-25 11:00:00,15.191254629831061,11.552517136341946,18.241794631520015
2026-04-25 12:00:00,13.565968823167458,9.927231329678342,16.61650882485641
2026-04-25 13:00:00,6.339359679245789,2.700622185756674,9.389899680934743
2026-04-25 14:00:00,7.151550888442155,3.5128133949530396,10.202090890131108
2026-04-25 15:00:00,6.520915323346823,2.8821778298577074,9.571455325035776
2026-04-25 16:00:00,6.374759901728656,2.736022408239541,9.42529990341761
2026-04-25 17:00:00,0.0,0.0,3.0505400016889537
2026-04-25 18:00:00,0.0,0.0,3.0505400016889537
2026-04-25 19:00:00,0.0,0.0,3.0505400016889537
2026-04-25 20:00:00,0.0,0.0,3.0505400016889537
2026-04-25 21:00:00,0.0,0.0,3.0505400016889537
2026-04-25 22:00:00,0.0,0.0,3.0505400016889537
2026-04-25 23:00:00,0.0,0.0,3.0505400016889537
2026-04-26 00:00:00,0.0,0.0,3.0505400016889537
2026-04-26 01:00:00,0.0,0.0,3.0505400016889537
2026-04-26 02:00:00,0.0,0.0,3.0505400016889537
2026-04-26 03:00:00,0.0,0.0,3.0505400016889537
2026-04-26 04:00:00,0.0,0.0,3.0505400016889537
2026-04-26 05:00:00,0.0,0.0,3.0505400016889537
2026-04-26 06:00:00,0.0,0.0,3.0505400016889537
2026-04-26 07:00:00,0.0,0.0,3.0505400016889537
2026-04-26 08:00:00,0.0,0.0,3.0505400016889537
2026-04-26 09:00:00,0.0,0.0,3.0505400016889537
2026-04-26 10:00:00,0.0,0.0,3.0505400016889537
2026-04-26 11:00:00,0.0,0.0,3.0505400016889537
2026-04-26 12:00:00,0.0,0.0,3.0505400016889537
2026-04-26 13:00:00,0.0,0.0,3.0505400016889537
2026-04-26 14:00:00,0.0,0.0,3.0505400016889537
2026-04-26 15:00:00,0.0,0.0,3.0505400016889537
